Year of Ceremony,Movie_Title,Nominations,Directed_By,Written_By,Produced_By,Screenplay_By,Adapted_From,Cast,Cinematography,Edited_By,Production Companies,Distributed_By,Date_Released,Running_Time (minutes),Producer_Country,Language,Budget (in millions),Box Office (in millions),Gains,"% of budget/box office made (If the budget is 1/3rd of the revenue, then movie did good, smaller than 33% is better)",Parental Guide,RT Critics,RT Audience,Lat,Long,Setting_City,Setting_Country,Filming_City,Filming_Country,Setting_Time,Film genre ,Summary,Notes
2nd,Glorious Betsy,"1 NOMINATION
Writing (Adaptation) - Anthony Coldeway","Alan Crosland
Gordon Hollingshead",-,-,"Anthony Coldeway
Jack Jarmuth","Glorious Betsy (1908 play)
by Rida Johnson Young",,Hal Mohr,Thomas Pratt,Warner Bros. Pictures,Warner Bros. Pictures,"April 26, 1928",80,United States,English (part talkie - intertitle),0.198,0.965,0.767,21%,Pre-Hays Code,-,20,,,,,,,,,,
2nd,Tempest,"1 WIN, 1 NOMINATION
* Art Direction - William Cameron Menzies","Sam Taylor
Lewis Milestone (uncredited)
Victor Tourjansky (uncredited)","Vladimir Nemirovich-Danchenko
C. Gardner Sullivan
Lewis Milestone (uncredited)
Erich von Stroheim (uncredited)
George Marion Jr. (intertitles; uncredited)","John W. Considine Jr.
Joseph M. Schenck",,,John Barrymore as Sgt. Ivan Markov; Camilla Horn as Princess Tamara; Louis Wolheim as Sgt. Bulba; Boris de Fast as Peddler/Commissar; George Fawcett as General; Ullrich Haupt as Captain; Michael Visaroff as Guard,Charles Rosher,Allen McNeil,Feature Productions,United Artists,"May 27, 1928",111,United States,"Sound (Synchronized)
(English Intertitles)",1.2,,-1.2,#DIV/0!,Pre-Hays Code,,,,,Moscow,Russia,,,1914,Drama,"In Czarist Russia, Ivan Markov (John Barrymore), a patriotic peasant youth, rises through the ranks after earning the admiration of a celebrated military leader, the General (George Fawcett), who commissions him a lieutenant. Ivan falls hopelessly in love with the General's daughter, Princess Tamara (Camilla Horn), but she is already engaged to a pompous officer, Captain Egorov (Ullrich Haupt), a snobbish member of her father's staff.
At a grand ball, the princess spurns Ivan with cold disdain. Humiliated and drunk, Ivan forces his way into her bedchamber, collapses in a stupor, and before losing consciousness, he scrawls ""I love you — Ivan"" on the back of a sacred icon he wears and leaves it on her pillow. Shocked to find Ivan in her room, Tamara calls her father and fiancé. Ivan is arrested, stripped of his rank, and imprisoned.
Loyal to his comrade, Sergeant Bulba (Louis Wolheim) deliberately insults an officer and joins Ivan in prison. There, they are visited by a peddler (Boris de Fast), secretly a revolutionary agent. Though previously rebuked by Ivan for spreading anti-czarist propaganda, the peddler now persuades him to join the growing revolutionary movement.
Tamara, remorseful and realizing her true feelings, visits Ivan in his cell. But Ivan, hardened by betrayal and humiliation, bitterly denounces her and the aristocracy, proud instead of his peasant roots. Captain Egorov, having eavesdropped, accuses her of betrayal and Tamara breaks their engagement, confessing that her heart still belongs to Ivan.
In retaliation, Egorov arranges for Ivan's solitary confinement, falsely claiming it was at Tamara's behest. When World War I breaks out, all political prisoners are released for service—except Ivan. Alone, Ivan begins to lose his sanity until the Bolsheviks seize power. The peddler, now a high-ranking Commissar, frees Ivan and appoints him second-in-command of the revolutionary tribunal. Bulba, returned from the front, is now a senior figure in the new regime.
At the tribunal, Ivan and the peddler condemn aristocrats to death. Among the prisoners is Princess Tamara, captured while trying to save her father. Still torn between love and rage, Ivan has her thrown into the same prison cell he once occupied. He visits her alone; she bears his harsh words in silence until she collapses in his arms. In that moment, Ivan sees she has always loved him—she still wears the icon he left on her pillow.
Leaving Bulba to guard Tamara, Ivan rushes to the execution yard where he finds the General, his former mentor, facing a firing squad. The old man dies in Ivan's arms. Appalled by the brutality of the regime he now serves, Ivan storms into the commissar's office. The peddler accuses him of treason. In a moment of self-defense and moral awakening, Ivan kills him.
Ivan escapes with Tamara and Bulba in a waiting sleigh. Together, they flee the bloodshed of the revolution, finding sanctuary in a new land—and a chance at peace and happiness.","While the film has no audible dialog, it was released with a synchronized musical score with sound effects using both the sound-on-disc and sound-on-film process"
2nd,White Shadows in the South Seas,"1 WIN, 1 NOMINATION
* Cinematography - Clyde De Vinna",W. S. Van Dyke,"Intertitles:
John Colton","Irving Thalberg
Hunt Stromberg
William Randolph Hearst","Jack Cunningham
Ray Doyle","White Shadows in the South Seas
1919 travel book
by Frederick O'Brien",Monte Blue as Dr. Lloyd; Raquel Torres as Fayaway; Robert Anderson as Sebastian; Renee Bush as Fayaway's friend (uncredited),"Clyde De Vinna
Bob Roberts
George Gordon Nogle",Ben Lewis,Cosmopolitan Productions,Metro-Goldwyn-Mayer,"July 31, 1928",89,United States,"Sound (Synchronized)
English intertitles",0.365,1.6,1.235,23%,,,,,,Papeete,Tahiti,Papeete,Tahiti,,Romantic adventure,"Dr. Matthew Lloyd, an alcoholic doctor, is disgusted by white traders' exploitation of native pearl divers on a Polynesian island. The traders give the divers well below the value of the pearls while the divers suffer numerous injuries, some fatal, from the sea bed and from diving without breathing equipment.

When a diver is gravely injured, Sebastian, a leading trader, is indifferent, demanding that the other divers keep working. When Lloyd remonstrates, Sebastian threatens him, demands he leave the island and swings a punch at him. Later, the diver dies despite Lloyd's treatment but the traders have a party all the same.

Sebastian tricks Lloyd onto an arriving ship by saying they have measles. His men tie the doctor up and send the ship off unmanned. Lloyd survives a storm and is washed ashore on an island where none of the natives has ever seen a white man.","This film is important historically for being the first sound MGM film to be released with a pre-recorded soundtrack.
This film was the first time audiences heard the roar of Leo the Lion, over the MGM banner at the beginning of the film."
2nd,The Patriot,"5 NOMINATIONS, 1 WIN
* Writing - Hans Kraly
Actor - Lewis Stone
Art Direction - Hans Dreier
Directing - Ernst Lubitsch
Outstanding Picture - Paramount Famous Lasky",Ernst Lubitsch,"Hanns Kräly
Ashley Dukes (Play)
Dmitry Merezhkovsky (Play)",,,Alfred Neumann (Novel),Emil Jannings as Tsar Paul I; Florence Vidor as Countess Ostermann; Lewis Stone as Count Pahlen; Vera Voronina as Mademoiselle Lapoukhine; Neil Hamilton as Crown Prince Alexander; Harry Cording as Stefan; Tullio Carminati and Carmencita Johnson appear uncredited in this movie.,Bert Glennon,Ernst Lubitsch,,Paramount Pictures,"August 17, 1928",113,United States,"Sound (Part-Talkie)
English Intertitles",1,,,,,,,,,,,,,1801,Semi-Biographical,"In Imperial Russia, Tsar Paul I rules through fear, paranoia, and erratic cruelty. A tyrant haunted by dread, Paul lives in constant suspicion of everyone around him, believing that he, like some of his ancestors, is doomed to be assassinated. Despite his mistrustful nature, he places intermittent trust in one man: Count Pahlen, his Prime Minister. Pahlen skillfully manages the emperor like a child, maintaining an unassailable political position.

Privately, Pahlen is in love with Countess Ostermann, the wife of a military officer. Their affair is interrupted when her husband unexpectedly returns. As he picks up one of Pahlen's boots to hurl it out the window in a rage, he is shot and killed by a Cossack guard—one of the Tsar's decrees forbids anyone from being visible at a window during his passage.

While Pahlen is deeply loyal to Russia, he is also tormented by the suffering Paul inflicts on the nation. Torn between duty and patriotism, he determines to bring about the Tsar's downfall. He recruits Stephan, a soldier recently punished by Paul for minor uniform violations, promising him vengeance and assigning him as his bodyguard.

At St. Michael's Castle, Paul obsesses over trivialities like the number of gaiter buttons, while foreign and domestic affairs languish. Meanwhile, Pahlen begins to rally conspirators at court. He appeals to Crown Prince Alexander, an idealist who dreams of a better Russia. But when the prince refuses to support treason, Pahlen reports him to Paul as a traitor, knowing full well the emperor already resents the popularity of his own son. Paul immediately places Alexander under arrest.

With the conspiracy in motion, Pahlen devises a plan: Paul will be pressured to abdicate, and if he refuses, he will be assassinated. But Paul suddenly announces he is leaving the city with his mistress, Mademoiselle Lapoukhine, derailing the carefully timed plot.

To keep Paul in the capital, Pahlen shows him a snuff box with a hidden portrait of Countess Ostermann. Obsessed, Paul cancels his trip and demands to meet the Countess. Pahlen orchestrates the meeting and deliberately leaves the two alone. Paul clumsily propositions her. Betrayed and disgusted, the Countess reveals Pahlen's plot to assassinate him.

Summoning Pahlen, Paul demands an explanation. Calmly, Pahlen claims he infiltrated the conspiracy to expose the plotters. He offers his life in exchange for the Tsar's trust. Satisfied, Paul retires to his chambers.

That night, the assassination proceeds. As the Tsar lies in uneasy sleep, conspirators enter his room. Paul pleads with them: “I am the Tsar by Divine Right!”—but his words delay, not deter. From behind, Stephan emerges and murders the Tsar.

Outside, bells toll and the people celebrate the rise of the new emperor. In his study, Pahlen awaits the cost of his actions. Stephan appears with a pistol. As the clock strikes the hour, a shot rings out—Pahlen is mortally wounded.

The Countess arrives too late. Cradled in her arms, Pahlen declares with his final breath: “I have been a bad friend and lover—but I have been a ‘Patriot’.”","This was Paramount's first feature with spoken dialogue. 
However, only fragments of the film remain, with no complete copy found to date."
2nd,The Cop,"1 NOMINATION
Writing - Elliott Clawson",Donald Crisp,"Elliott J. Clawson
Tay Garnett
John W. Krafft",Ralph Block,,,William Boyd as Pete Smith; Alan Hale as Mather; Jacqueline Logan as Mary Monks; Robert Armstrong as Scarface Marcas; Tom Kennedy as Sergeant Coughlin; Louis Natheaux as Louie; Philip Sleeman as Lord Courtney (credited as Phil Sleeman); Dan Wolheim,Arthur C. Miller,,DeMille Pictures Corporation,Pathé Exchange,"August 20, 1928",77,United States,Silent (English intertitles),,,0,#DIV/0!,Hays Code (but not fully into effect),,,,,,,,,,Drama,,
2nd,Our Dancing Daughters,"2 NOMINATIONS
Cinematography - George Barnes
Writing - Josephine Lovett",Harry Beaumont,"Marian Ainslee
Ruth Cummings",Hunt Stromberg,Josephine Lovett (and scenario)   ,,"Joan Crawford as Diana ""Di"" Medford aka Diana the Dangerous; John Mack Brown as Ben Blaine; Nils Asther as Norman; Dorothy Sebastian as Beatrice ""Bea""; Anita Page as Ann ""Annikins""; Kathlyn Williams as Ann's mother; Edward J. Nugent as Freddie; Dorothy Cumming as Diana's mother; Huntley Gordon as Diana's father; Evelyn Hall as Freddie's mother; Sam De Grasse as Freddie's father",George Barnes,William Hamilton,Cosmopolitan Productions,Metro-Goldwyn-Mayer,"September 1, 1928",97,United States,"Sound film (Synchronized)
English Intertitles",0.178,1.099,0.921,16%,,,,,,,United States,,United States,1927,Drama,"""Dangerous Diana"" Medford (Crawford) is outwardly flamboyant and popular but inwardly virtuous and idealistic, patronizing her parents by telling them not to stay out late. Her friend Ann chases boys for their money and is as amoral as her mother.
Diana and Ann are both attracted to Ben Blaine (Brown). He takes Diana's flirtatious behavior with other boys as a sign of lack of interest in him and marries Ann, who has lied about her virtues. Bea, a mutual friend of Diana and Ann, also meets and marries a wealthy suitor named Norman who loves her but is haunted by her past.
Diana becomes distraught for a while about the marriages of her friends with questionable pasts. She decides to go away and Bea throws a raucous bon voyage party at the yacht club (complete with sculpted ice ocean liner centerpiece), which Ben declined to attend and made Ann decline as well. The same evening Ann hopes to meet up with her lover, Freddie, telling her husband she is going to see her sick mom. When her mom calls and Ben realizes Ann has lied to him yet again, they get into an argument and Ann storms out to meet Freddie.
Now alone, Ben decides to stop by the party where he and Diana realize their love for each other. Meanwhile, a drunken Ann follows Freddie into the party only to find Ben and Diana alone together in a quiet room. She causes an uproar, after which both Diana and Ben leave the party declaring their love but ultimately saying goodbye to one another.
Norman arrives at the dwindling party to find Bea trying to help the inebriated Ann home. On her way out, Ann mocks a trio of cleaning women and reflects on her and her mother's gold-digging strategy. Distracted by this, she stumbles and falls down a flight of stairs to her death. Headlines tell of Diana's return home after two years away, upon which she and Ben are happily reunited.","The film launched the career of Joan Crawford.
When Our Dancing Daughters was released, many states and cities in the United States had censor boards that could require cuts or other eliminations before the film could be shown. Among cuts required by the Kansas censor board was a cut of an intertitle with the caption ""Before I met you, Norman—–before I knew anything about love—–things happened.""
It was due in part to Joan Crawford's role as the ferociously free Charleston-dancing, Prohibition-era-booze-swilling, stage-diving ""Dangerous"" Diana Medford that F. Scott Fitzgerald wrote:[6]
Joan Crawford is doubtless the best example of the flapper, the girl you see in smart night clubs, gowned to the apex of sophistication, toying iced glasses with a remote, faintly bitter expression, dancing deliciously, laughing a great deal, with wide, hurt eyes. Young things with a talent for living."
2nd,The Racket,"1 NOMINATION
Outstanding Picture - The Caddo Company",Lewis Milestone,"Bartlett Cormack
Tom Miranda
Harry Behn",Howard Hughes,,"The Racket (play)
by Bartlett Cormack","Thomas Meighan as Captain James McQuigg; Louis Wolheim as Nick Scarsi; Lucien Prival as Chick; Marie Prevost as Helen Hayes; G. Pat Collins as Patrolman Johnson (credited as Pat Collins); Henry Sedley as Spike Corcoran; George E. Stone as Joe Scarsi (credited as George Stone); Sam De Grasse as District Attorney Welch (credited as Sam DeGrasse); Richard ""Skeets"" Gallagher as Miller (credited as Skeets Gallagher); Lee Moran as Pratt; John Darrow as Dave Ames – Cub Reporter",Tony Gaudio,Eddie Adams,The Caddo Company,Paramount Pictures,"November 1, 1928",84,United States,Silent (English Intertitles),,,-,-%,Pre-Hays Code,100,68,41.88305313,-87.62544932,Chicago,United States,,United States,1927,Crime Drama,"Chicago Police Department officer James ""Mac"" McQuigg tries to keep the peace in Chicago during the Prohibition gang wars but is hampered by massive corruption. After a shootout McQuigg manages to arrest mob boss Nick Scarsi's henchman Spike Corcoran, the political boss ""The Old Man"" arranges to have all charges dropped. After a birthday party for Nick Scarsi's younger brother Joe Scarsi ends in a shootout in which Nick Scarsi kills Corcoran, McQuigg arrests Nick Scarsi for murder but is forced to release him after being unable to find the murder weapon.

Although McQuigg vows to bring down Nick Scarsi, he gets transferred to ""the sticks"" of the 28th precinct. After Joe Scarsi is arrested for a hit-and-run accident, McQuigg convinces his girlfriend Helen Hayes to implicate him. Nick Scarsi arrives and shoots the witness Patrolman Johnson, and McQuigg arrests him again for murder. When Nick Scarsi's attorney arrives with a writ of habeas corpus to free him, McQuigg rips it up and imprisons him as well. Hayes falls in love with cub reporter Dave Ames, and tricks Nick Scarsi into confessing to keep him from killing Ames. With Nick Scarsi implicated in a crime, ""The Old Man"" and District Attorney Welch's political machine turn on Nick Scarsi in order to remain in power at the upcoming municipal election. They trick him into attempting to escape and trying to shoot McQuigg with an empty gun before killing him themselves.","Due to the controversial portrayal of a corrupt police force and city government, both the film and the play were banned at the time in Chicago.[3] The main antagonist Nick Scarsi was modeled after Al Capone while ""The Old Man"" was modeled after Chicago Mayor William Hale ""Big Bill"" Thompson.
Only one copy of the film was known to exist.[7] It was long thought lost before being located in Howard Hughes' film collection after his death.[8] The Racket was preserved by the Academy Film Archive in 2016.[9] It airs occasionally on Turner Classic Movies."
2nd,Sal of Singapore,"1 NOMINATION
Writing - Elliott Clawson",Howard Higgin,Elliott J. Clawson,,,"The Sentimentalists
by Dale Collins",Phyllis Haver as Sal; Alan Hale as Captain Erickson; Fred Kohler as Captain Sunday; Noble Johnson as Erickson's 1st Mate; Dan Wolheim as Erickson's 2nd Mate; Jules Cowles as Cook; Pat Harmon as Sunday's 1st Mate; Harold William Hill as Baby,John J. Mescall,,,Pathe Exchange,"November 4, 1928",70,United States,"Sound (Part-Talkie)
English Intertitles",,,,,,,,,,,,,,,Drama,"Captain Lief Erickson (Alan Hale), master of a rugged freighter, is about to enjoy the nightlife of Mazatlán Harbor when he discovers that someone has abandoned a baby in the launch attached to his ship. At first bewildered, the hard-boiled captain is surprised to find his heart stirred by the tiny hands clutching his fingers. Determined to see the infant cared for, he decides to bring the child with him on the voyage, intending to find a suitable woman to tend it.

The women of the seaport, however, prove to be entirely unfit for the task. By chance, Erickson encounters “Singapore Sal” (Phyllis Haver), a disillusioned but spirited woman of the waterfront, during a clash with his old rival Captain Sunday (Fred Kohler). Recognizing her intelligence beneath the hardened exterior, Erickson, with the aid of his mate (Noble Johnson), shanghais Sal and forces her aboard his ship.

Once freed from her bonds, Sal fights Erickson like a fury. The Herculean captain only laughs at her blows, locks her in his cabin, and orders his crew to lift anchor. Frantically seeking escape, Sal discovers the baby in the adjoining cabin. Initially annoyed by its cries, she soon feels pity for the “poor little devil.” Realizing it is hungry, she swallows her hatred of Erickson long enough to demand milk and supplies. Ingeniously, she fashions a feeding bottle from an empty whiskey flask and a glove finger, mixing condensed milk with hot water to save the child.

Though Erickson admires Sal’s resourcefulness, he remains emotionally distant, seeing her only as a competent caretaker for the baby he has come to love. At her orders he fetches hot water, starch, safety pins, and other necessities, quietly acknowledging her skill. But while Erickson views her impersonally, his mate (Dan Wolheim), and others among the crew, are not blind to her womanly allure. Hardened by her sordid past, Sal is neither offended nor shocked by their advances; instead she plots to use their desires to her advantage, planning to escape with the baby at the first port.

When Erickson realizes that his mate has become dangerously obsessed with Sal, he fears for the child’s safety. Soon the man is reported “washed overboard.” When Sal accuses Erickson of murder, he does not deny it, and she secretly vows to hold this knowledge over him when they reach San Francisco. From then on, their relationship becomes a silent battle for possession of the baby.

The struggle is interrupted when the infant falls ill. Erickson races for San Francisco, while he and Sal put aside their venom to care for the child. For two days and nights they hover over it, exhausted, but gentler with one another than ever before. At last the fever breaks, and the fog lifts as the ship nears the Golden Gate. Moved, Erickson makes the bravest gesture of his life: he tells Sal to go ashore and keep the baby.

Though she has schemed for this moment, Sal finds no joy in it. Dressing once more in the tawdry finery of her waterfront days, she sees her reflection and recoils. Who is she, “Singapore Sal,” to guide a child’s future? With tears streaming, she writes Erickson a note, declaring the baby will be safer in his hands, and slips away alone.

Sal boards the ship of Captain Sunday, recognizing him as Erickson’s rival. Sunday, amused at the idea of stealing her, puts to sea. When Erickson discovers her note and learns she has gone to Sunday’s vessel, he understands her sacrifice but cannot let her go. He pursues, and after a thrilling chase across the waves, brings his crew aboard Sunday’s ship. In a fierce but bloodless hand-to-hand fight, Erickson is victorious. Sal watches in breathless excitement.

The two captains, though rivals, respect each other. Erickson, as victor, commands Sunday to perform a marriage ceremony—since, being more than twelve miles at sea, Sunday has the legal right as master of a ship. Erickson shyly asks Sal to be his wife. She, equally moved yet unable to speak her emotions, consents. Amidst the salt spray and fading rivalries, “Singapore Sal” finds not only redemption but love, and the baby a true family.",
2nd,The Awakening,"1 NOMINATION
Art Direction - William Cameron Menzies",Victor Fleming,Frances Marion,Samuel Goldwyn,Carey Wilson ,,Vilma Bánky as Marie Ducrot; Walter Byron as Count Karl von Hagen; Louis Wolheim as Le Bete; George Davis as The Orderly; William Orlamond as Grandfather Ducrot; Carl von Haartman as Lieutenant Franz Geyer,George Barnes,"Viola Lawrence
Katherine Hilliker
H. H. Caldwell",Samuel Goldwyn Productions,United Artists,"November 17, 1928",90,United States,"Sound (Synchronized)
English Intertitles",,,0,#DIV/0!,Pre-Code,,,,,Alsace (Pré D'Or),France,,,1914,,"In the quiet Alsatian village of Pré d'Or, just before the outbreak of the Great War, lives Marie Ducrot (Vilma Bánky), a beautiful and virtuous young woman, the admired belle of the village. Despite the attentions of many local suitors, Marie remains unattached. Among her admirers is Le Bête (Louis Wolheim), the wealthiest farmer in the region, whose clumsy courtship is favored by Grandfather Ducrot (William Orlamond), Marie’s guardian. Yet Marie grants him little more than a polite smile.
On the eve of the village’s annual festival, a regiment of Uhlans arrives on fall maneuvers, led by the dashing and aristocratic Lieutenant Count Karl von Hagen (Walter Byron), a charming officer known for trifling with women’s affections. When Marie's flock of sheep delays the progress of his squadron, von Hagen notices her and resolves to make her his latest conquest.
At the festival the next day, von Hagen boldly flirts with Marie, inciting jealousy in Le Bête. Marie rejects the officer’s advances when he grows too presumptuous, but her resolve falters soon after. Regretful, she agrees to see him privately. Within a week, as von Hagen prepares to leave for Africa—a posting he expects to be fatal—Marie has fallen deeply in love with him. For von Hagen, the affair had begun as a mere amusement, but Marie’s sincerity unsettles him.
When Le Bête, seething with jealousy, confronts von Hagen at the village inn and threatens him, the officer coolly dismisses the challenge with disdain. Later, von Hagen tells Marie that if her love is true, she will come to him that night to say goodbye. Marie battles with fear, passion, and the threat of village gossip—but when the morning bugle sounds, she can resist no longer.
A village gossip sees Marie entering von Hagen’s lodgings and spreads word of her supposed fall from grace. A mob forms, led by the enraged Le Bête. Inside, Marie is overcome with emotion and submits to Karl, who, struck by her purity and devotion, realizes he truly loves her. Knowing he has acted selfishly, he asks her to leave before harm comes to her.
Outside, the villagers lie in wait. As Marie emerges, Le Bête viciously whips her through the rain back to her cottage. There, she finds her home defaced with tar as a mark of disgrace—and her beloved grandfather dead in his chair, overcome by the shame.
By morning, it is assumed that Marie has taken her own life.
Years pass. War has engulfed Alsace. Now promoted to Captain, von Hagen returns near Pré d'Or to warn a convent of nuns of the approaching French advance. To his astonishment, among the sisters he finds Marie—alive, cloistered, and a novice. Though she has not yet taken final vows, she turns away from his renewed declaration of love, having found solace in the peace of religious life.
The next day, von Hagen returns to help evacuate the convent, but he is severely wounded. Marie, though shell-shocked herself, tends to him. While fetching water, the French army arrives, led by Sergeant Le Bête, now half-mad from war and still carrying the bitter scars of his past with von Hagen.
Finding the officer unconscious in the convent chapel, Le Bête recognizes his old enemy and, in a moment of vengeance, rips away his bandages to let him bleed to death. He settles down to watch the life ebb from von Hagen.
Marie returns to the chapel and finds them. Le Bête, shocked to see her alive, realizes she still loves von Hagen. In a sudden act of redemption, he resolves to save them both. He hides the wounded officer and Marie beneath straw in a peasant cart, takes the reins himself, and drives furiously toward the German lines.
Though hit by sniper fire along the way, Le Bête delivers them to safety—dying with a triumphant laugh at the bewildered von Hagen. The war has cost him everything, but in his last act he redeems himself.
Marie and von Hagen are left together at last, their love deepened by suffering and finally secure in peace.","One reel of the film (approximately 1000 feet of 35mm nitrate film) survives at the BFI.
"
2nd,The Barker,"1 NOMINATION
Actress - Betty Compson",George Fitzmaurice,"Benjamin Glazer
Joseph Jackson
Herman J. Mankiewicz (titles)","Al Rockett
Richard A. Rowland",,"The Barker
by Kenyon Nicholson","Dorothy Mackaill as Lou; Milton Sills as Nifty Miller, the barker; Douglas Fairbanks Jr. as Chris Miller; Betty Compson as Carrie; Sylvia Ashton as Ma Benson; George Cooper as Hap Spissel; S. S. Simon as Col. Gowdy; Tom Dugan as Stuttering Spieler; Bobby Dunn as Hamburger concessionaire; Pat Harmon as Heckler; Bynunsky Hyman as Fire Eater; Gladden James as Member of Hawaiian Trio; Charles Sullivan as Man in audience; Pat West as Bartender",Lee Garmes,Stuart Heisler,First National Pictures,Warner Bros. Pictures,"December 9, 1928",87,United States,English (Intertitles and talking scenes),,,0,#DIV/0!,Pre-Code,,,,,,,,,,Romantic Drama,"""Nifty Miller (Milton Sills), a veteran sideshow barker, is famed for his ability to draw crowds with his magnetic voice and pitch-perfect patter. Colonel Gowdy (S. S. Simon), owner of the carnival, calls him the best barker in the business. Nifty's colorful showmanship conceals a deep paternal hope: that his son Chris (Douglas Fairbanks Jr.), currently away at school, will never enter show business but instead pursue a respectable career as a lawyer.
Carrie (Betty Compson), a sultry Hawaiian dancer who has never actually been to Honolulu, is passionately in love with Nifty and urges him to marry her. But Nifty refuses, determined not to complicate Chris's future with ties to the carnival world.
His plans are derailed when Chris unexpectedly arrives at the carnival, having run away from his grandfather's farm during summer vacation. Chris begs to stay and work with his father, and Nifty relents, persuading Gowdy to give him a job. In response, Nifty reforms his lifestyle—quitting drinking, distancing himself from Carrie—and dedicates himself fully to raising his son.
Carrie, feeling cast aside, plots revenge. She offers $100 to Lou (Dorothy Mackaill), an alluring and worldly performer known as the “Colonel’s girl,” to seduce Chris and lead him away from Nifty's ambitions. Lou initially accepts the challenge but soon finds herself genuinely in love with the innocent and idealistic young man. Chris, likewise, falls head over heels for her.
When Colonel Gowdy informs Nifty that he has seen Chris leaving Lou's rooming house late at night, Nifty confronts her with furious accusations. Chris, incensed by his father's harsh treatment of Lou, announces his intent to marry her. In a rage over the apparent collapse of his dreams for Chris, Nifty strikes his son unconscious. Chris and Lou elope and move to Chicago.
Distraught, Nifty learns of Carrie's role in orchestrating Chris's seduction and nearly strangles her in a fit of rage. He then quits the carnival. Carrie leaves as well, and the Colonel hastily replaces them with a new dancer and a greenhorn barker. But during a performance, when the new barker falters and the crowd begins to drift away, Nifty's instinct for showmanship takes over. He leaps into action, delivering his pitch with unmatched flair and saving the night's business.
Soon after, Nifty receives a postcard from Chicago: Chris is attending law school and working, and he and Lou are happy together. Encouraged by the news, Nifty accepts Gowdy's offer of a partnership in the carnival. In a final gesture, he gruffly suggests to Carrie that if she stays on as the show's dancer, he may eventually forgive her.""",The film survives intact with its talking sequences and has been preserved by the UCLA Film & Television Archive and the Museum of Modern Art.[5] [6]
